id,cc_t,cc_n,cc_mc,a,ac_t
1,diners-club-enroute,201785930813822,CUP,false,XS
2,china-unionpay,5602226300701090920,EUR,false,2XL
3,jcb,3543626440463933,IDR,true,3XL
4,mastercard,5002359260942096,PEN,false,L
5,jcb,3561319522681815,THB,true,3XL
6,jcb,3583451275256349,UAH,false,M
7,jcb,3580616746883854,CDF,true,3XL
8,jcb,3534925982101252,CNY,false,L
9,china-unionpay,56022153074581169,CNY,false,XL
10,mastercard,5007661128794485,CNY,true,XS
11,switch,5641820584144864,MYR,true,S
12,jcb,3566278898967395,CNY,true,3XL
13,maestro,675903341067213384,SEK,false,M
14,visa,4017951044835830,USD,true,L
15,americanexpress,374283784290504,RUB,true,3XL
16,jcb,3552511340206988,UZS,false,L
17,jcb,3556383508523935,RUB,true,M
18,jcb,3547758064811257,EUR,true,XL
19,china-unionpay,56109689141624819,UAH,false,3XL
20,mastercard,5244965560982661,MDL,true,S
21,jcb,3557431754514865,IDR,true,S
22,visa-electron,4917984682880298,JPY,false,M
23,diners-club-carte-blanche,30288856083808,BRL,true,3XL
24,bankcard,5610459643321119,EUR,false,XS
25,jcb,3552342575215027,MYR,true,2XL
26,maestro,676169266843820995,CNY,false,L
27,jcb,3555511613905461,THB,false,XS
28,jcb,3534406855458350,KRW,false,XS
29,jcb,3580778191819724,THB,true,S
30,jcb,3575000668791030,PLN,false,S
31,americanexpress,374622926433490,IDR,false,M
32,jcb,3528880404808067,EUR,false,3XL
33,americanexpress,337941645084079,BRL,true,XL
34,visa,4041595075615,UAH,false,M
35,jcb,3548423502286120,CNY,true,L
36,jcb,3541602591276327,BRL,true,M
37,instapayment,6399406219389207,AFN,true,XL
38,switch,6333860602729716606,PHP,true,S
39,jcb,3572182428604928,IDR,true,M
40,diners-club-carte-blanche,30161067582027,EUR,true,3XL
41,switch,490514199677956023,IDR,false,S
42,jcb,3537750236258394,EUR,true,3XL
43,jcb,3564202385284207,CZK,true,S
44,jcb,3553557794323364,IRR,true,2XL
45,maestro,6763214131074735,KWD,true,3XL
46,switch,4911112503570771057,CNY,true,XS
47,switch,4905119429323401,EUR,false,2XL
48,jcb,3558179051169235,EUR,false,XS
49,jcb,3547519199476956,CZK,true,2XL
50,americanexpress,348948881262969,ARS,true,L
51,jcb,3566550003533183,SYP,false,M
52,jcb,3588949987876689,CNY,true,2XL
53,jcb,3564405750332705,RUB,false,XS
54,jcb,3586133123550209,UAH,false,S
55,visa-electron,4405864654693532,BRL,true,XS
56,jcb,3543820559363576,JPY,false,S
57,visa,4232838993231,PEN,false,M
58,maestro,6761528901903604844,RUB,true,L
59,mastercard,5100147641305146,UAH,false,L
60,jcb,3569573954744614,HUF,false,2XL
61,jcb,3582054823033839,JPY,false,S
62,china-unionpay,5602252697721049,CNY,true,2XL
63,visa-electron,4405340017574354,IDR,true,XS
64,diners-club-us-ca,5563169481566710,CNY,false,2XL
65,jcb,3541196676457530,RUB,false,M
66,maestro,67630759328702822,SEK,false,S
67,switch,4911416270948316,PEN,true,2XL
68,mastercard,5131399652063980,YER,true,L
69,jcb,3544469311576122,CNY,true,L
70,diners-club-carte-blanche,30591806742542,IDR,true,L
71,jcb,3529573713436980,IDR,true,S
72,mastercard,5100176714113897,CNY,false,XS
73,visa-electron,4913709738300072,CZK,false,XS
74,china-unionpay,56102984540782665,RSD,true,XL
75,laser,670975523938074590,EUR,true,2XL
76,jcb,3544210276123181,LYD,true,2XL
77,jcb,3553231786638623,NGN,false,XS
78,diners-club-us-ca,5482961259559838,NGN,false,L
79,visa-electron,4844370243621124,RUB,true,M
80,jcb,3547240745761292,CNY,false,3XL
81,jcb,3579151628462844,IDR,false,3XL
82,jcb,3537562803853048,CNY,true,S
83,maestro,6759270974333147,CAD,false,2XL
84,maestro,06041274688881084,CNY,true,S
85,maestro,58931240443706860,XCD,true,2XL
86,jcb,3544612159297901,BRL,false,3XL
87,laser,630402028332217875,AFN,true,2XL
88,bankcard,5602232505019315,PLN,false,L
89,visa-electron,4405334200022685,EUR,false,3XL
